,title,release_year,genres,description,channels
96,Open Season,2006,"['Comedy', 'Adventure', 'Animated', 'Children']","Boog (Martin Lawrence), a 900-pound grizzly bear, is content entertaining tourists and living in park ranger Beth's (Debra Messing) barn. His life takes a drastic turn when he rescues a one-horned mule deer named Elliot (Ashton Kutcher) from a hunter (Gary Sinise), and is subsequently tranquilized and returned to the wild. Elliot and Boog recruit the other animals, notably a Scottish squirrel (Billy Connolly) and a beaver foreman, to help turn the tables on the hunters to make the woods safe.",['608']
97,Slaughterhouse Rulez,2018,"['Comedy', 'Horror']",A British boarding school turns into a battleground when unspeakable horrors emerge from the ground.,['602']
98,XY Chelsea,2019,"['Documentary', 'Biography']",Whistleblower Chelsea Manning leaks information about the wars in Iraq and Afghanistan.,['557']
99,Shazam!,2019,"['Action', 'Adventure', 'Comedy', 'Fantasy']","We all have a superhero inside of us -- it just takes a bit of magic to bring it out. In 14-year-old Billy Batson's case, all he needs to do is shout out one word to transform into the adult superhero Shazam. Still a kid at heart, Shazam revels in the new version of himself by doing what any other teen would do -- have fun while testing out his newfound powers. But he'll need to master them quickly before the evil Dr. Thaddeus Sivana can get his hands on Shazam's magical abilities.",['512']
100,After Darkness,2018,"['Drama', 'Science fiction']","As the sun burns out and darkness shrouds the planet, a family must reckon with long-held grudges and heal painful memories from the past.",['598']
101,Firestorm,1998,['Action'],A firefighter (Howie Long) and his mentor (Scott Glenn) encounter an escaped convict (William Forsythe) and his cohorts in a blazing forest.,['603']
102,Halwa,2018,['Drama'],"A woman rekindles her relationship with a childhood sweetheart through Facebook messages, but her abusive husband takes notice.",['516']
103,The Bounce Back,2016,['Romantic comedy'],"Relationship expert Matthew Taylor (Shemar Moore) is on a book tour promoting his bestseller ""The Bounce Back"" when he meets talk show circuit therapist Kristin Peralta (Nadine Velazquez), who calls him out as a fraud. Matthew's life is upended when, in spite of himself, he falls in love with this quick-witted woman and is forced to face painful truths about a past relationship.",['583']
104,My Super Ex-Girlfriend,2006,['Romantic comedy'],"A young man (Luke Wilson) discovers that the beautiful but manipulative woman (Uma Thurman) he is dating is really a superheroine known as G-Girl. After breaking up with her, he learns that ""hell hath no fury like a woman scorned"" as she unleashes her considerable powers against him.",['542']
105,Darkness,2002,['Horror'],"Paul (Stephan Enquist) and his older sister, Regina (Anna Paquin), unpack and settle into their new country home with their mother (Lena Olin) and father (Iain Glen). An atmosphere of dread slowly becomes evident in the house, and, before long, strange things are happening within its walls. As the supernatural occurrences get more intense and threatening, Regina looks into the house's dark history and struggles to uncover the reason behind the macabre presence.",['541']
106,Garden of Evil,1954,['Adventure'],"Traveling through Mexico, three American gunslingers -- Hooker (Gary Cooper), Fiske (Richard Widmark) and Daly (Cameron Mitchell) -- are approached by the beautiful Leah Fuller (Susan Hayward). She hires the trio to venture into dangerous territory and bring back her husband, John (Hugh Marlowe), who is trapped inside a remote gold mine. While the rewards could be considerable, so are the obstacles that they face to complete their hazardous assignment.",['607']
107,Red Dawn,1984,"['Action', 'Adventure']","In an alternate 1980s, the United States stands alone as communism grows stronger. When Soviet soldiers invade a small Colorado town, brothers Jed (Patrick Swayze) and Matt Eckert (Charlie Sheen) escape with friends to the forest. With their father, Tom (Harry Dean Stanton), a prisoner of the invading army, the children decide to fight against the Soviets. As the country comes under increasing attack, the group teams up with Lt. Col. Andrew Tanner (Powers Boothe) to take back their town.",['538']
108,Anna to the Infinite Power,1983,['Science fiction'],A child prodigy (Martha Byrne) learns she is part of a secret experiment in genetic engineering.,['539']
109,Miss Congeniality 2: Armed and Fabulous,2005,['Comedy'],"Gracie Hart (Sandra Bullock) was never thrilled to have to go undercover as a competitor in a beauty pageant. Now Gracie, who works for the FBI, is dealing with some very public attention thanks to her waltz down the runway. Her overnight celebrity does not impress her new partner, Sam Fuller (Regina King). But the pair has to put aside their differences when one of Gracie's former beauty queen pals, Cheryl Frasier (Heather Burns), turns up missing, and the FBI is put on the case.",['062']
110,Miss Congeniality 2: Armed and Fabulous,2005,['Comedy'],"Gracie Hart (Sandra Bullock) was never thrilled to have to go undercover as a competitor in a beauty pageant. Now Gracie, who works for the FBI, is dealing with some very public attention thanks to her waltz down the runway. Her overnight celebrity does not impress her new partner, Sam Fuller (Regina King). But the pair has to put aside their differences when one of Gracie's former beauty queen pals, Cheryl Frasier (Heather Burns), turns up missing, and the FBI is put on the case.",['167']
111,Love and Death,1975,['Comedy'],"In Woody Allen's comic take on 19th-century Russian philosophical novels and the Soviet-era epic films made from them, Boris (Woody Allen) is a simple Russian villager who pines from afar for his beautiful cousin Sonja (Diane Keaton). Forced against his will into joining the Russian army during the Napoleonic Wars, the cowardly Boris accidentally becomes a military hero. But when his beloved Sonja comes to him with a dangerous patriotic scheme, Boris debates his desires and beliefs.",['532']
112,Last Christmas,2019,"['Romantic comedy', 'Holiday']","Nothing seems to go right for young Kate, a frustrated Londoner who works as an elf in a year-round Christmas shop. But things soon take a turn for the better when she meets Tom -- a handsome charmer who seems too good to be true. As the city transforms into the most wonderful time of the year, Tom and Kate's growing attraction turns into the best gift of all -- a Yuletide romance.",['513']
113,Blood and Sand,1941,['Drama'],"Brash young Spanish peasant Juan Gallardo (Tyrone Power) aspires to follow his dead father's footsteps into the bullring, despite his mother's fears. Bidding his childhood sweetheart Carmen (Linda Darnell) farewell, Juan and his friends travel to Madrid to learn the bullfighting craft. Years later, when Juan's fame as a matador soars, he returns to Seville to marry Carmen. Soon, Juan's head is turned by the elegant temptress Doña Sol De Muira (Rita Hayworth), and his career takes a turn.",['083']
114,Blood and Sand,1941,['Drama'],"Brash young Spanish peasant Juan Gallardo (Tyrone Power) aspires to follow his dead father's footsteps into the bullring, despite his mother's fears. Bidding his childhood sweetheart Carmen (Linda Darnell) farewell, Juan and his friends travel to Madrid to learn the bullfighting craft. Years later, when Juan's fame as a matador soars, he returns to Seville to marry Carmen. Soon, Juan's head is turned by the elegant temptress Doña Sol De Muira (Rita Hayworth), and his career takes a turn.",['632']
115,Project X,1987,['Comedy drama'],"As punishment for a minor offense, the Air Force assigns pilot Jimmy Garrett (Matthew Broderick) to watch over a group of chimpanzees used for military experiments. Jimmy bonds with Virgil, a chimp capable of communicating with sign language. But when he witnesses the military's plan to kill the animals with radiation, Jimmy enlists the help of Teri MacDonald (Helen Hunt), the graduate student responsible for teaching sign language to Virgil, to free the chimps.",['533']
116,The Perfect Bride,1991,['Thriller'],A bridegroom's (Linden Ashby) sister (Kelly Preston) sees something sinister in the unsullied nurse (Sammi Davis) about to become her in-law.,['076']
117,The Perfect Bride,1991,['Thriller'],A bridegroom's (Linden Ashby) sister (Kelly Preston) sees something sinister in the unsullied nurse (Sammi Davis) about to become her in-law.,['630']
118,Quiero mariachis,2020,['Action'],"A pesar de la vida excesiva que ha llevado Sebastián, se enamora de Rosita. Los padres de ella quieren casarla con Julián, el heredero de la familia más adinerada de la región.",['972']
119,Birth Rite,2003,['Horror'],"A woman meets a mysterious man who has magical powers and shows her how her parents were murdered. As she delves further into the black arts of witchcraft, her adopted sister fights to save her soul from the evil that possesses her.",['1849']
120,Loosies,2011,['Comedy drama'],A onetime lover (Jaimie Alexander) confronts a pickpocket (Peter Facinelli) and tells him that she is pregnant with his child.,['623']
121,La isla de los dinosaurios,1966,['Fantasy'],Un profesor cree que la Atlántida existe y va a buscarla con tres de sus alumnos y un grupo de científicos.,['890']
122,RV,2006,"['Comedy', 'Children']","Los Munro son una típica familia disfuncional estadounidense, que se completa con unos padres rebeldes, incomunicativos y desconcertados. El patriarca Bob quisiera remediar la situación antes de que su hijo e hija los excluyan de sus vidas. Bob renta una casa rodante para llevar de vacaciones a su familia y descubre que estar juntos puede resultar muy peligroso.",['973']
123,La española inglesa,2015,"['Historical drama', 'Drama']","Basada en una de las Novelas ejemplares de Miguel de Cervantes. La española inglesa es una joven raptada en su tierna infancia durante el saqueo de Cádiz por las tropas inglesas. Llevada a Londres, es criada como una hija por la familia de su secuestrador y se enamorará de su noble hijo.",['984']
124,Lobo,2010,['Drama'],"La historia de un escritor quien, tras el violento asesinato su familia, se muda a la ciudad de Zacatecas para tratar de reconstruir su vida.",['983']
125,Mi mujer no es mía,1951,['Drama'],"Un joven parrandero le dice a su tía que es un hombre casado, sólo para que ella no lo obligue a desposar a su prima.",['985']
126,Cosmo Jones: Crime Smasher,1943,['Mystery'],A detective who learned the ropes through a correspondence course puts his training to use on a mob-related killing.,['1248']
127,Se solicita asesino con referencias,1991,['Adventure'],"Dos policías se enfrentan a unos criminales, pero uno de ellos sale herido. El doctor, al hacerle los exámenes, detecta una rara enfermedad mortal. Muy desilusionado porque su seguro solo cubre su sepelio, el policía decide hacer algo ilegal.",['842']
128,Ski School,1991,['Comedy'],"Dave Marshak (Dean Cameron) and his friends are a pack of highly skilled skiers and devoted party animals. On the slopes, they are known as ""Section 8."" But their reputation is at risk when a ski school of snobs -- headed by pompous and preppy Reid Janssens (Mark Thomas Miller) -- shows up looking to win the end-of-season downhill competition. Now, the stakes have never been higher because, if Section 8 is beaten, they'll lose more than bragging rights. They'll also lose their jobs.",['522']
129,Red Tails,2012,"['Historical drama', 'War']","During World War II, the Civil Aeronautics Authority selects 13 black cadets to become part of an experimental program at the Tuskegee Institute in Alabama. The program aims at training ""colored personnel"" to become fighter pilots for the Army. However, discrimination, lack of institutional support and the racist belief that these men lacked the intelligence and aptitude for the job dog their every step. Despite this, the Tuskegee Airmen, as they become known, more than prove their worth.",['516']
130,Bless the Child,2000,['Thriller'],"When Maggie's sister Jenna saddles her with an autistic newborn named Cody she touches Maggie's heart and becomes the daughter she has always longed for. But six years later Jenna suddenly re-enters her life and, with her mysterious new husband, Eric Stark, abducts Cody. Despite the fact that Maggie has no legal rights to Cody, FBI agent John Travis, takes up her cause when he realizes that Cody shares the same birth date as several other recently missing children.",['534']
131,White Boy,2017,"['Documentary', 'Crime drama']","In 1980s Detroit, a 17-year-old runs a sophisticated drug operation. Thirty years later, journalists, police and federal agents discuss him for the first time.",['606']
132,Flaming Star,1960,['Western'],"In this Western set on the Texas frontier, Pacer Burton (Elvis Presley) is the mixed-race son of a white rancher (John McIntire) and his second wife, Kiowa woman Neddy (Dolores del Río). When some local racists cause Neddy's death by preventing the doctor from coming to her aid, a war between the whites and the tribe erupts. As the war threatens to drive a wedge between Pacer and his white brother, Clint (Steve Forrest), he takes matters into his own hands.",['622']
133,55 Steps,2017,"['Biography', 'Drama']",A workaholic lawyer helps a psychiatric patient sue a hospital for mistreating its patients.,['621']
134,Double Trouble,1967,['Musical comedy'],An American singer (Elvis Presley) in Europe gets mixed up with jewel thieves and a runaway English heiress (Annette Day).,['064']
135,Double Trouble,1967,['Musical comedy'],An American singer (Elvis Presley) in Europe gets mixed up with jewel thieves and a runaway English heiress (Annette Day).,['631']
136,Ready to Rumble,2000,['Comedy'],"Gordie Boggs (David Arquette) and Sean Dawkins (Scott Caan) are best friends who operate a sewage truck and idolize pro wrestler Jimmy King (Oliver Platt). After Diamond Dallas Page (Diamond Dallas Page) dethrones their hero, Gordie and Sean embark on a mission to help King get his title back. When they finally track him down, however, they discover that King is not too keen on recapturing his former glory. Can the boys find a way to motivate the faded champ?",['620']
137,The SpongeBob SquarePants Movie,2004,"['Comedy', 'Adventure', 'Animated', 'Children']","In this lively animated adventure, undersea oddball SpongeBob SquarePants and his starfish friend, Patrick, embark on a quest to clear the name of Mr. Krabs, the owner of the Krusty Krab restaurant, who has been framed for stealing the crown of ocean deity King Neptune. Leaving the familiar confines of Bikini Bottom, SpongeBob and Patrick venture out towards Shell City, where they hope to find Neptune's crown, but numerous obstacles stand (or float) in their way.",['558']
138,"Girl, Interrupted",1999,['Drama'],"Set in the changing world of the late 1960s, ""Girl, Interrupted"" is the searing true story of Susanna Kaysen (Winona Ryder), a young woman who finds herself at a renowned mental institution for troubled young women, where she must choose between the world of people who belong on the inside -- like the seductive and dangerous Lisa (Angelina Jolie) -- or the often difficult world of reality on the outside.",['604']
139,Just My Luck,2006,['Romantic comedy'],"As the luckiest woman in the world, Ashley (Lindsay Lohan) has a wonderful life, which all changes after she kisses a stranger (Chris Pine) at a costume party. She sees everything turn into a living hell, as she realizes that she has unwittingly exchanged her good fortune for the stranger's bad luck.",['515']
140,Almost Heroes,1998,['Comedy'],"Un explorador engreído y un rastreador borracho intentan alcanzar el océano Pacífico en 1804 antes de que lo logren sus competidores, Lewis y Clark.",['536']
141,Almost Heroes,1998,['Comedy'],"Two explorers are racing Lewis and Clark to the Pacific Ocean in 1804. Edwards (Matthew Perry) is a glory-seeking fop who's out of his league, Hunt (Chris Farley) is a slovenly, clumsy tracker with a soft spot for toilet humor. Along with a team of misfits and losers, the duo wreaks havoc on the American frontier.",['531']
142,The Best of Enemies,2019,['Historical drama'],"The true story of the unlikely relationship between Ann Atwater, an outspoken civil rights activist, and C.P. Ellis, a local Ku Klux Klan leader. During the racially charged summer of 1971, Atwater and Ellis come together to co-chair a community summit on the desegregation of schools in Durham, N.C. The ensuing debate and battle soon lead to surprising revelations that change both of their lives forever.",['552']
143,The Wind,2018,"['Horror', 'Thriller', 'Western']","Lizzy is a tough, resourceful frontierswoman settling a remote stretch of land on the 19th-century American frontier. Isolated from civilization in a desolate wilderness where the wind never stops howling, she begins to sense a sinister presence that seems to be borne of the land itself, an overwhelming dread that her husband dismisses as superstition. When a newlywed couple arrives on a nearby homestead, their presence amplifies Lizzy's fears, setting into motion a shocking chain of events.",['556']
144,The Pope of Greenwich Village,1984,['Drama'],"Cousins Paulie (Eric Roberts) and Charlie (Mickey Rourke) plan to rob a merchant in the New York City neighborhood that's home to the restaurant where they work. When their scheme results in the death of a police officer and draws the ire of the Mafia-linked businessman who was ripped off, Charlie's girlfriend (Daryl Hannah) bolts, and mob henchmen exact a brutal price from Paulie. With the mob threatening to kill them, the thieves must think fast if they intend to survive.",['535']
145,The Freshman,1990,['Comedy'],"Clark Kellogg (Matthew Broderick) is robbed moments after arriving in New York, so when he sees his mugger several days later, he confronts him. The man promises to return his property and get him a job with his uncle, Carmine Sabatini (Marlon Brando), who turns out to be a Mafia boss. As Clark continues his shady work for Carmine, he discovers an elaborate underworld that has caught the attention of the authorities. As things come to a head, not everything is what it seems.",['605']
146,King Kong,1976,"['Adventure', 'Fantasy']","When a research ship is sent to explore an island thought to be rich in oil, paleontologist Jack Prescott (Jeff Bridges) sneaks aboard, having heard strange rumors about the island. En route, the crew rescues Dwan (Jessica Lange), the sole survivor of a shipwreck. When they arrive, they find native people living in fear of a monster called Kong. The natives kidnap Dwan and sacrifice her to what turns out to be an enormous ape. Dwan is eventually rescued, and the ape captured for a gala exhibit.",['523']
147,The Code,2009,['Crime drama'],A veteran thief (Morgan Freeman) recruits a novice (Antonio Banderas) to pull off one last job to repay Russian gangsters.,['640']
148,Babe: Pig in the City,1998,"['Comedy drama', 'Fantasy', 'Children']","When Babe accidentally puts farmer Hoggett (James Cromwell) in traction, the debtors come looking for their payments. In order to pay their debt, Mrs. Hoggett (Magda Szubanski) sends Babe off across the ocean to the city to demonstrate his talents as a sheep herder. Along with his friends, Babe meets a lot of new friends and gets into new adventures.",['521']
149,Zona hostil,2017,"['War', 'Drama', 'Action', 'Thriller']","A un convoy americano escoltado por la legión española le estalla una mina al norte de Afganistán y el inexperto teniente Conte queda al mando de una dotación para proteger a los heridos hasta que los evacuen. La capitana médico Varela acude al rescate en un helicóptero del ejército español, pero el terreno cede durante el aterrizaje y el helicóptero vuelca, dejando a los rescatadores atrapados junto a los legionarios en medio de la nada.",['982']
150,The Mothman Prophecies,2002,['Thriller'],"Based on true events in Point Pleasant, Virginia, ""The Mothman Prophecies"" examines a series of inexplicable occurrences through the eyes - and mind- of one man. A man (Richard Gere) is driven to investigate the mysterious circumstances surrounding his wife's (Debra Messing) death -- and how they might be connected to the strange phenomena in a town four hundred miles away.",['609']
151,Anna Karenina,2012,"['Romance', 'Historical drama']","Anna Karenina (Keira Knightley), the wife of a Russian imperial minister (Jude Law), creates a high-society scandal by an affair with Count Vronsky (Aaron Taylor-Johnson), a dashing cavalry officer in 19th-century St. Petersburg. Anna's husband, Alexei, offers her a difficult choice: Go into exile with Vronsky but never see her young son again, or remain with her family and abide by the rules of discretion. Meanwhile, a farmer named Levin pines for Princess Kitty, who only has eyes for Vronsky.",['553']
152,Beneath a Sea of Lights,2020,['Crime drama'],"A billboard repairman's life spirals out of control when he meets a con artist in Dubai, United Arab Emirates.",['554']
153,Cousins,1989,['Romantic comedy'],"In this American remake of the popular French romantic comedy ""Cousin Cousine,"" Larry (Ted Danson) and Maria (Isabella Rossellini) meet at the wedding of Larry's uncle to Maria's mother. At the reception, the newly minted cousins realize that Larry's wife, Tish (Sean Young), has been having an affair with Maria's husband, Tom (William Petersen). Bonding over their shared outrage at their spouses' behavior, they decide to pretend that they're having an affair as well.",['537']
154,Premium Rush,2012,"['Action', 'Thriller']","For bike messenger Wilee (Joseph Gordon-Levitt), dodging speeding cars, evading crazy cabdrivers, and blowing by millions of cranky pedestrians is all in a day's work. Wilee is one of the best in a dangerous job, and his bike of choice is a Fixie, a lightweight, single-gear unit without brakes. Though Wilee knows that one day he may end up as a smear on the pavement -- he is unprepared for what happens after his last run of the day turns into a life-or-death chase through Manhattan.",['581']
155,Long Shot,2019,['Romantic comedy'],"Fred Flarsky is a gifted and free-spirited journalist who has a knack for getting into trouble. Charlotte Field is one of the most influential women in the world -- a smart, sophisticated and accomplished politician. When Fred unexpectedly runs into Charlotte, he soon realizes that she was his former baby sitter and childhood crush. When Charlotte decides to make a run for the presidency, she impulsively hires Fred as her speechwriter -- much to the dismay of her trusted advisers.",['540']
156,EDtv,1999,['Comedy'],"In a desperate attempt to boost ratings, a cable channel decides to document the life of someone on a daily basis and air the footage as a show. That lucky someone turns out to be Ed Pekurny (Matthew McConaughey), a laid-back video-store clerk. While the TV series makes Ed an overnight celebrity, it also begins to wreak havoc on his personal life, complicating his relationship with his new girlfriend, Shari (Jenna Elfman), and causing tension with his brother, Ray (Woody Harrelson).",['520']
157,Matriarch,2018,"['Horror', 'Thriller']","After a car accident, a couple expecting their first child are offered shelter by a family at an isolated farm. Before long, the couple realize that the farmer's wife is taking an unhealthy interest in their soon-to-be-born baby.",['597']
158,Sword of Trust,2019,['Comedy'],A cantankerous pawnshop owner and his man-child employee team up with an out-of-town couple who are trying to hawk a Civil War-era sword inherited from a recently deceased grandfather. The sword comes with a convoluted report claiming the relic is proof that the South won the war. It isn't long before the item draws the attention of enthusiastic conspiracy theorists who are anxious to get their hands on the coveted sword.,['572']
159,Calichín,2016,['Comedy'],"Un futbolista peruano que ha tenido todas las oportunidades de triunfar no las supo aprovechar. Ahora, tiene la chance de regresar a la canchas para recuperar la gloria perdida.",['971']
160,"Dude, Where's My Car?",2000,['Comedy'],"Last night, two party-hearty Dudes had an unbelievably sweet time. Too bad, they can't remember a thing, including where they parked their car. So, the Dudes embark on a mission: retrace their steps to find out what they did last night hoping it will lead them to the missing car. Little do the Dudes know, they're in for the ride of their lives.",['582']
161,Hachi: A Dog's Tale,2009,['Drama'],A college professor (Richard Gere) forms a lasting bond with a dog that he finds on a train platform.,['584']
162,Anger Management,2003,['Comedy'],"Dave Buznik (Adam Sandler) is usually a mild-mannered nonconfrontational guy. But after an altercation aboard an airplane, he is remanded to the care of an anger-management therapist, Dr. Buddy Rydell (Jack Nicholson), who could probably use a little anger management himself.",['586']
163,El amor menos pensado,2018,"['Romantic comedy', 'Comedy', 'Romance']","Luego de vivir casados más de 25 años, Marcos y Ana atraviesan una crisis que los lleva a separarse, pero la nueva vida de solteros no resulta como pensaban.",['517']
164,Flight of the Phoenix,2004,"['Adventure', 'Action', 'Drama']","On a flight over the Gobi Desert in Mongolia, Capt. Frank Towns (Dennis Quaid) and co-pilot A.J. (Tyrese Gibson) are unable to keep their cargo plane in the air when a violent sandstorm strikes. Crash-landing in a remote part of the desert, the two pilots and their passengers -- a crew of oil workers and a drifter (Giovanni Ribisi) -- must work together to survive by rebuilding the aircraft. Soon, low supplies and a band of merciless smugglers add greater urgency to their task.",['511']
165,The Sandlot,1993,"['Comedy drama', 'Children']","When Scottie Smalls (Thomas Guiry) moves to a new neighborhood, he manages to make friends with a group of kids who play baseball at the sandlot. Together they go on a series of funny and touching adventures. The boys run into trouble when Smalls borrows a ball from his stepdad that gets hit over a fence.",['608']
166,I Used to Go Here,2020,['Comedy'],A successful author finds herself deeply enmeshed in the lives of a group of college students after being asked to speak at her alma mater.,['519']
167,The Last Movie Star,2017,['Comedy drama'],"An aging screen icon gets lured into accepting an award at a rinky-dink film festival in Nashville, Tenn., sending him on a hilarious fish-out-of-water adventure and an unexpectedly poignant journey into his past.",['571']
168,Peligros de juventud,1959,['Drama'],"Un grupo de estudiantes vive un conflicto amoroso. Uno de ellos es un limpiabotas que está enamorado de una joven, pero ella quiere a otro.",['985']
169,The Dark,2005,['Horror'],"Adelle (Maria Bello) makes the journey from New York City to Wales with her daughter, Sarah (Sophie Stuckey). There, Adelle attempts to patch things up with Sarah's father, James (Sean Bean). The visit turns tragic when Sarah disappears in the ocean. But then a young girl named Ebril (Abigail Stone) shows up who, eerily, seems to have died in a mass suicide half a century earlier. Ebril claims that Adelle's daughter has been taken to the Welsh underworld.",['603']
170,A Girl From Mogadishu,2019,['Drama'],Ifrah Ahmed wages a campaign to end female genital mutilation after fleeing war-torn Somalia in 2006.,['557']
171,Stardust Memories,1980,['Comedy drama'],"Can a comedian evolve into a challenging artist? Not in the public's view, as Sandy Bates (Woody Allen) learns the hard way. The hostile comments persistently hurled at him indicate that audiences prefer his earlier slapstick comedies over his recent work: allegorical black-and-white head-scratchers in the vein of European art films. Invited to attend a retrospective of his work, the former funny man must come to terms with critics, audiences, lovers and, ultimately, himself.",['532']
172,Autism: The Sequel,2019,['Documentary'],"Five autistic adults navigate their way through their early 20s, while old footage reveals their lives with their families 12 years earlier.",['518']
173,Autism: The Sequel,2019,['Documentary'],"Las vidas de cinco adultos autistas en sus 20 años, además se muestran imágenes del pasado que revelan sus vidas con sus respectivas familias 12 años atrás.",['524']
174,Beneath the Planet of the Apes,1970,['Science fiction'],"The second installment in ""The Planet of the Apes"" series. Here, an earthling sent to find the astronauts of the original film discovers not only a world of intelligent, talking apes, but an underground cult of grotesque ""humans"" who are the survivors of a nuclear blast years ago.",['541']
175,The Weekend,2018,['Comedy'],A down-on-her-luck comedian's vacation plans are interrupted by her ex-boyfriend and his new girlfriend.,['595']
176,Texasville,1990,['Comedy drama'],"1950s lovers (Jeff Bridges, Cybill Shepherd) meet in the 1980s in this sequel to ""The Last Picture Show.""",['633']
177,Vault,2019,['Crime drama'],Two small-time crooks cook up an ill-fated scheme to rob a nearby vault of $30 million--money that belongs to the Mafia.,['598']
178,Revenge of the Pink Panther,1978,['Comedy'],"When French drug kingpin Philippe Douvier (Robert Webber) learns that he's losing the respect of New York mob bosses, he decides to murder Chief Inspector Jacques Clouseau (Peter Sellers) to regain his reputation. After a case of mistaken identity, Clouseau is declared dead, much to the delight of his former boss, Charles Dreyfus (Herbert Lom). When Clouseau reemerges, he teams up with Douvier's ex-lover, Simone LeGree (Dyan Cannon), to break up the drug trafficking operation.",['542']
179,Deep Impact,1998,"['Drama', 'Science fiction']","A comet is hurtling toward Earth and could mean the end of all human life. The U.S. government keeps the crisis under wraps, but crack reporter Jenny Lerner (Tea Leoni) uncovers the truth -- forcing U.S. President Beck (Morgan Freeman) to announce his plan. Grizzled astronaut Spurgeon ""Fish"" Tanner (Robert Duvall) and his team will land on the comet and lay explosives, hopefully deterring the object from its doomsday course. If not, humanity will have to prepare for the worst.",['602']
180,City Slickers,1991,['Comedy'],"Every year, three friends take a vacation away from their wives. This year, henpecked Phil (Daniel Stern), newly married Ed (Bruno Kirby), and Mitch (Billy Crystal) -- terrified of his midlife crisis -- decide to reignite their masculinity by taking a supervised cattle drive across the Southwest. Under the supervision of gruff cowboy Curly (Jack Palance), the men set out on a journey that turns unexpectedly dangerous. The three men bond along the way to conquering their fear of aging.",['522']
181,B&B,2017,['Thriller'],A gay couple seek revenge against a hotel owner after they are turned away.,['1849']
182,Metropolitan,1990,['Comedy drama'],"A radical student is adopted by a group of young New Yorkers, serves as a catalyst to alter his and their lives. Gathering in a Manhattan apartment, the group of friends meet to discuss social mobility, Fourier's socialism and play bridge in their cocoon of upper-class society - until they are joined by a man with a critical view of their way of life.",['623']
183,La momia azteca,1957,['Horror'],Un científico descubre por medio de hipnosis a una momia que vigila las joyas de un dios azteca por toda la eternidad.,['890']
184,It Should Happen to You,1954,['Comedy'],"After two years of failing to make it big in New York City, small-town model and actress Gladys Glover (Judy Holliday) takes a gamble by investing in billboard advertising to get her name out there. Almost immediately her risk pays off, and she finds herself inundated with media requests and fans, including the affections of the wealthy Evan Adams III (Peter Lawford) of the Adams Soap company. While Glover enjoys the spotlight, her boyfriend (Jack Lemmon) is less pleased about it.",['1248']
185,Night of the Living Dead,1968,['Horror'],"A disparate group of individuals takes refuge in an abandoned house when corpses begin to leave the graveyard in search of fresh human bodies to devour. The pragmatic Ben (Duane Jones) does his best to control the situation, but when the reanimated bodies surround the house, the other survivors begin to panic. As any semblance of order within the group begins to dissipate, the zombies start to find ways inside -- and one by one, the living humans become the prey of the deceased ones.",['606']
186,XXX: State of the Union,2005,"['Action', 'Adventure', 'Thriller']","When the government finds out that a group of terrorists has infiltrated its ranks, and the group is being trained by high-ranking official George Deckert (Willem Dafoe), NSA Agent Augustus Gibbons (Samuel L. Jackson) hires an ex-con to bring down the nefarious plot. Thinking he can trust no one in the government, Augustus springs Darius Stone (Ice Cube), who once trained under him, from prison. Although Darius is a loose cannon, Augustus is convinced he is the only man for the job.",['583']
187,El Comandante Antrax,2012,['Action'],"Un hombre se convierte en un alto mando del cartel más fuerte que existe, cuenta con el respaldo de los altos rangos y poderosos amigos, y su misión es acabar con los enemigos del cartel que a toda costa tratan de tomar el control del terreno.",['983']
188,Sonora Stagecoach,1944,['Western'],"The Trail Blazers (Hoot Gibson, Bob Steele, Chief Thundercloud) escort an innocent man to a fair trial.",['607']
189,Little,2019,"['Comedy', 'Fantasy']","Jordan is a take-no-prisoners tech mogul who torments her long-suffering assistant, April, and the rest of her employees on a daily basis. She soon faces an unexpected threat to her personal life and career when she magically transforms into a 13-year-old version of herself right before a do-or-die presentation. Jordan will now need to rely on April more than ever -- if April is willing to stop treating Jordan like a 13-year-old child with an attitude problem.",['513']
190,Benny & Joon,1993,['Romantic comedy'],"Benny (Aidan Quinn), who cares for his mentally disturbed sister, Joon (Mary Stuart Masterson), also welcomes the eccentric Sam (Johnny Depp) into his home at Joon's request. Sam entertains Joon while he dreams of a job at the video store. Once Benny realizes Joon and Sam have started a relationship, he kicks Sam out of the house. This leads to an altercation between brother and sister. Joon runs away with Sam, who soon realizes that she may need more support than he alone can provide.",['539']
191,The Jackie Robinson Story,1950,['Biography'],"After a successful baseball career in college and as a coach in the military, Jackie Robinson (playing himself) attracts the attention of Major League Baseball's Branch Rickey (Minor Watson). Rickey wants Robinson to play in the minor leagues, believing he can become the first player to break the color barrier and play in the majors. The only catch: He is forbidden from defending himself against racial bigotry. Supported by his wife (Ruby Dee), Robinson is steadfast in his determination to win.",['622']
192,The Recruit,2003,['Thriller'],"In an era when the country's first line of defense - human intelligence - is more important than ever, comes an explosive thriller that gives an insider's view into the CIA's secret training ground: The Farm. James Clayton (Colin Farrell) might not have the attitude of a typical recruit, but he is one of the smartest graduating seniors in the country -- and he's just the person that Walter Burke (Al Pacino) wants in the Agency.",['533']
